,date,flight no,booster version,payload mass,orbit,launch site,landing type,outcome,flights,gridfins,reused,legs,landing pad,block,reused count,serial,longitude,latitude,cost per launch,customers,manufacterers
56,2018-03-06T05:33:00.000Z,57,Falcon 9,6092.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,,,1,True,False,True,,4.0,0,B1044,-80.577366,28.5618571,50000000,['Hispasat'],['SSL']
57,2018-03-30T14:13:51.000Z,58,Falcon 9,9600.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,,,2,True,True,True,,4.0,1,B1041,-120.610829,34.632093,50000000,['Iridium Communications'],['Thales Alenia Space']
58,2018-04-02T20:30:41.000Z,59,Falcon 9,2760.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,,,2,True,True,True,,4.0,1,B1039,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
59,2018-04-18T22:51:00.000Z,60,Falcon 9,350.0,HEO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1,B1045,-80.577366,28.5618571,50000000,['NASA'],['Orbital ATK']
60,2018-05-11T20:14:00.000Z,61,Falcon 9,3750.0,GTO,Kennedy Space Center Historic Launch Complex 39A,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046,-80.6039558,28.6080585,50000000,['Bangladesh Gov'],['Thales Alenia Space']
61,2018-05-22T19:47:58.000Z,62,Falcon 9,4300.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,,,2,True,True,False,,4.0,1,B1043,-120.610829,34.632093,50000000,['Iridium Communications'],['Thales Alenia Space']
62,2018-06-04T04:45:00.000Z,63,Falcon 9,5383.85,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,,,2,False,True,False,,4.0,1,B1040,-80.577366,28.5618571,50000000,['SES'],['Airbus Defence and Space']
63,2018-06-29T09:42:00.000Z,64,Falcon 9,2410.0,ISS,Cape Canaveral Space Force Station Space Launch Complex 40,,,2,False,True,False,,4.0,1,B1045,-80.577366,28.5618571,50000000,['NASA (CRS)'],['SpaceX']
64,2018-07-22T05:50:00.000Z,65,Falcon 9,7076.0,GTO,Cape Canaveral Space Force Station Space Launch Complex 40,ASDS,True,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047,-80.577366,28.5618571,50000000,['Telesat'],['SSL']
65,2018-07-25T11:39:26.000Z,66,Falcon 9,9600.0,PO,Vandenberg Space Force Base Space Launch Complex 4E,ASDS,True,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4,B1048,-120.610829,34.632093,50000000,['Iridium Communications'],['Thales Alenia Space']
